Type,Value
Data Source,Cold_11LTAN_Nominal_500 : TMD : THERMAL_REVAMP1_COLD_11L
Element,69607
,
,
Time[s],Temperature
339.0,-19.612697467997553
340.0,-19.62816817998863
341.0,-19.643680925749408
342.0,-19.659224477734146
343.0,-19.674798732923534
344.0,-19.69040372406017
345.0,-19.706039482877653
346.0,-19.721701157286088
347.0,-19.73738130230398
348.0,-19.7530799483915
349.0,-19.76879721892287
350.0,-19.78453323532435
351.0,-19.800286338255194
352.0,-19.816053865000264
353.0,-19.8318358567692
354.0,-19.847632390411597
355.0,-19.86344354406659
356.0,-19.879271905090423
357.0,-19.895121431690992
358.0,-19.91099220032847
359.0,-19.926884237015365
360.0,-19.942797568946407
361.0,-19.958733859607776
362.0,-19.97469567802633
363.0,-19.990683047035205
364.0,-20.00669595576603
365.0,-20.02273439456941
366.0,-20.038798693801038
367.0,-20.05488932574486
368.0,-20.07100619546168
369.0,-20.087149202500854
370.0,-20.103318249568808
371.0,-20.119512492490454
372.0,-20.135730633806862
373.0,-20.151972540660765
374.0,-20.168238100966743
375.0,-20.18452720613526
376.0,-20.200834102874275
377.0,-20.21714978477334
378.0,-20.233474260235447
379.0,-20.24980760857664
380.0,-20.266149894551113
381.0,-20.28249802853717
382.0,-20.298847051746375
383.0,-20.315197018083992
384.0,-20.331548058823916
385.0,-20.34790030468661
386.0,-20.364252444826498
387.0,-20.380602249543276
388.0,-20.39694969075956
389.0,-20.41329484419379
390.0,-20.42963780316701
391.0,-20.44597792523691
392.0,-20.462314095452985
393.0,-20.47864636761659
394.0,-20.49497481421124
395.0,-20.51129950787922
396.0,-20.527617200375303
397.0,-20.5439225694518
398.0,-20.560215649619465
399.0,-20.576496564993448
400.0,-20.59276543988579
401.0,-20.609017235770256
402.0,-20.62524366625482
403.0,-20.64144483461229
404.0,-20.657620985562588
405.0,-20.673772362053118
406.0,-20.689897634700475
407.0,-20.705994462643098
408.0,-20.722063063485123
409.0,-20.738103697642863
410.0,-20.754116623850692
411.0,-20.770101460623426
412.0,-20.786057390938566
413.0,-20.801984629777603
414.0,-20.817883409581643
415.0,-20.83375396190863
416.0,-20.849595382110845
417.0,-20.86540599268196
418.0,-20.88118597164614
419.0,-20.896935530662635
420.0,-20.912654881120652
421.0,-20.928343630522175
422.0,-20.94400097532986
423.0,-20.959627107774434
424.0,-20.97522223807684
425.0,-20.990786575855395
426.0,-21.00631931897789
427.0,-21.021818971806876
428.0,-21.037285720161773
429.0,-21.052719780935394
430.0,-21.068121370076415
431.0,-21.083489543164333
432.0,-21.0988225463946
433.0,-21.114120563047194
434.0,-21.12938381327929
435.0,-21.144612516440983
436.0,-21.159806617877337
437.0,-21.174965864802985
438.0,-21.19009045958649
439.0,-21.205180612913708
440.0,-21.22023653466044
441.0,-21.235258347041164
442.0,-21.250246106511582
443.0,-21.265200013245757
444.0,-21.280120269389677
445.0,-21.29500707606451
446.0,-21.309860460270503
447.0,-21.324680322380583
448.0,-21.339466855925707
449.0,-21.354220259254276
450.0,-21.368940729440972
451.0,-21.38362823341543
452.0,-21.398282568588446
453.0,-21.41290392257803
454.0,-21.427492489823393
455.0,-21.442048463349728
456.0,-21.456571753723754
457.0,-21.47106206045881
458.0,-21.4855195648491
459.0,-21.49994445698883
460.0,-21.51433692548973
461.0,-21.528697102360347
462.0,-21.543025076497436
463.0,-21.557321030587524
464.0,-21.57158514783545
465.0,-21.585817609900374
466.0,-21.60001859686426
467.0,-21.61418828717536
468.0,-21.62832685773019
469.0,-21.64243448386482
470.0,-21.656511339351233
471.0,-21.670557596367207
