Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value
28800,24.86550986,28800,23.20745727,28800,24.41362607,28800,27.13014843,28800,25.88735976,28800,25.88323886,28800,24.43907073,28800,25.1192248,28800,25.14410947,28800,47.62181365,28800,0,28800,0,28800,0,28800,0,28800,0,28800,0,28800,0,28800,0
30000,24.86027773,30000,23.19519804,30000,24.4002562,30000,27.14702275,30000,25.89159628,30000,25.88750772,30000,24.41809667,30000,25.11240355,30000,25.13733907,30000,47.64969259,30000,0,30000,0,30000,0,30000,0,30000,0,30000,0,30000,0,30000,0
31200,24.84352479,31200,23.07711992,31200,24.32703486,31200,27.23613627,31200,25.91342124,31200,25.90947854,31200,24.33026225,31200,25.07377208,31200,25.09891584,31200,47.78839838,31200,0,31200,0,31200,0,31200,0,31200,0,31200,0,31200,0,31200,0
32400,24.8199327,32400,22.82329672,32400,24.24345499,32400,27.32093856,32400,25.93286703,32400,25.92901224,32400,24.23758695,32400,25.03021753,32400,25.05546478,32400,47.90045883,32400,0,32400,0,32400,0,32400,0,32400,0,32400,0,32400,0,32400,0
33600,24.81174549,33600,22.76703839,33600,24.22307764,33600,27.33605112,33600,25.93610385,33600,25.93226204,33600,24.22011348,33600,25.02111929,33600,25.04637356,33600,47.91765011,33600,0,33600,0,33600,0,33600,0,33600,0,33600,0,33600,0,33600,0
34800,24.79497184,34800,22.63682987,34800,24.17214154,34800,27.40407936,34800,25.95024528,34800,25.94668039,34800,24.13700917,34800,24.97843835,34800,25.00369885,34800,47.98751705,34800,0,34800,0,34800,0,34800,0,34800,0,34800,0,34800,0,34800,0
36000,24.78015814,36000,22.64084801,36000,24.14821967,36000,27.43221462,36000,25.95572515,36000,25.95229434,36000,24.09610734,36000,24.95945515,36000,24.98469661,36000,48.01061661,36000,0,36000,0,36000,0,36000,0,36000,0,36000,0,36000,0,36000,0
37200,24.75945229,37200,22.53622167,37200,24.07054164,37200,27.51359151,37200,25.97136666,37200,25.96821769,37200,23.99494767,37200,24.89986546,37200,24.92493238,37200,48.06842932,37200,0,37200,0,37200,0,37200,0,37200,0,37200,0,37200,0,37200,0
38400,24.72960073,38400,22.29035944,38400,23.98146962,38400,27.59027721,38400,25.98497166,38400,25.98198824,38400,23.89048054,38400,24.83619917,38400,24.86101034,38400,48.10614282,38400,0,38400,0,38400,0,38400,0,38400,0,38400,0,38400,0,38400,0
39600,24.721339,39600,22.24562424,39600,23.96485744,39600,27.60100161,39600,25.98670794,39600,25.98372864,39600,23.87615545,39600,24.8262325,39600,24.85100215,39600,48.10948905,39600,0,39600,0,39600,0,39600,0,39600,0,39600,0,39600,0,39600,0
40800,24.70385365,40800,22.11691492,40800,23.91303492,40800,27.65437968,40800,25.99505348,40800,25.99231208,40800,23.79726691,40800,24.77569897,40800,24.80024801,40800,48.12243085,40800,0,40800,0,40800,0,40800,0,40800,0,40800,0,40800,0,40800,0
42000,24.68539898,42000,22.1176134,42000,23.88248845,42000,27.68633875,42000,25.99963744,42000,25.99713064,42000,23.74514965,42000,24.74478152,42000,24.76919067,42000,48.12556746,42000,0,42000,0,42000,0,42000,0,42000,0,42000,0,42000,0,42000,0
43200,24.65993206,43200,22.00833628,43200,23.80040394,43200,27.76083277,43200,26.009996,43200,26.00794005,43200,23.63652104,43200,24.66783315,43200,24.69181971,43200,48.12438914,43200,0,43200,0,43200,0,43200,0,43200,0,43200,0,43200,0,43200,0
44400,24.62527851,44400,21.80780016,44400,23.72591141,44400,27.83145531,44400,26.0187714,44400,26.01707288,44400,23.52797458,44400,24.58775997,44400,24.61128538,44400,48.10865571,44400,0,44400,0,44400,0,44400,0,44400,0,44400,0,44400,0,44400,0
45600,24.60527235,45600,21.73687632,45600,23.68768247,45600,27.8664436,45600,26.02264042,45600,26.0210591,45600,23.47256268,45600,24.54504525,45600,24.5683305,45600,48.09468669,45600,0,45600,0,45600,0,45600,0,45600,0,45600,0,45600,0,45600,0
46800,24.59647754,46800,21.72678923,46800,23.67023508,46800,27.87936395,46800,26.02403894,46800,26.02246776,46800,23.4460424,46800,24.52879144,46800,24.55197907,46800,48.08860231,46800,0,46800,0,46800,0,46800,0,46800,0,46800,0,46800,0,46800,0
