Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
340.0,-10.222597025261075,340.0,-10.222597025261075,340.0,-10.222597025261075,340.0,-10.222597025261075,340.0,-10.222597025261075,340.0,-10.222597025261075,340.0,-10.22320341932773,340.0,-10.22320341932773,340.0,-10.22320341932773,340.0,-10.22320341932773,340.0,-10.22320341932773,340.0,-10.22320341932773
350.0,-10.222583454809902,350.0,-10.222583454809902,350.0,-10.222583454808897,350.0,-10.222583454808897,350.0,-10.222583454808897,350.0,-10.222583454808897,350.0,-10.223185055490337,350.0,-10.223185055490337,350.0,-10.222636624459264,350.0,-10.222088193451762,350.0,-10.222088193451762,350.0,-10.222088193451762
360.0,-10.222570018246836,360.0,-10.222570018246836,360.0,-10.222570018290256,360.0,-10.222570018297578,360.0,-10.222570018297578,360.0,-10.222570018297578,360.0,-10.22316679111664,360.0,-10.22316679111664,360.0,-9.838164858357295,360.0,-9.453160230565635,360.0,-9.453160230565635,360.0,-9.453160230565635
370.0,-10.22255671645019,370.0,-10.22255671645019,370.0,-10.222556716577419,370.0,-10.222556716530775,370.0,-10.222556716530775,370.0,-10.222556716530775,370.0,-10.223148626599077,370.0,-10.223148626599077,370.0,-9.492859907712878,370.0,-8.762569105270098,370.0,-8.762569105270098,370.0,-8.762569105270098
380.0,-10.222543550331855,380.0,-10.222543550331855,380.0,-10.222543549419088,380.0,-10.222543548126536,380.0,-10.222543548126536,380.0,-10.222543548126536,380.0,-10.223130562326993,380.0,-10.223130562326993,380.0,-9.184264451240082,380.0,-8.145397263139497,380.0,-8.145397263139497,380.0,-8.145397263139497
390.0,-10.222530520836807,390.0,-10.222530520836807,390.0,-10.222530512083077,390.0,-10.222530502700536,390.0,-10.222530502700536,390.0,-10.222530502700536,390.0,-10.223112598686976,390.0,-10.223112598686976,390.0,-8.906827238301616,390.0,-7.590542298764899,390.0,-7.590542298764899,390.0,-7.590542298764899
400.0,-10.222517628940547,400.0,-10.222517628940547,400.0,-10.222517588258428,400.0,-10.22251754667063,400.0,-10.22251754667063,400.0,-10.22251754667063,400.0,-10.223094736063176,400.0,-10.223094736063176,400.0,-8.655907118929806,400.0,-7.08872195373378,400.0,-7.08872195373378,400.0,-7.08872195373378
410.0,-10.22250487564353,410.0,-10.22250487564353,410.0,-10.222504739321783,410.0,-10.222504601799056,410.0,-10.222504601799056,410.0,-10.222504601799056,410.0,-10.223076974837678,410.0,-10.223076974837678,410.0,-8.427619152657238,410.0,-6.632166354065222,410.0,-6.632166354065222,410.0,-6.632166354065222
420.0,-10.222492261950705,420.0,-10.222492261950705,420.0,-10.222491890587083,420.0,-10.222491517714595,420.0,-10.222491517714595,420.0,-10.222491517714595,420.0,-10.223059315390461,420.0,-10.223059315390461,420.0,-8.218707123251004,420.0,-6.214363053134957,420.0,-6.214363053134957,420.0,-6.214363053134957
430.0,-10.222479788844037,430.0,-10.222479788844037,430.0,-10.222478915458753,430.0,-10.222478040247365,430.0,-10.222478040247365,430.0,-10.222478040247365,430.0,-10.223041758099251,430.0,-10.223041758099251,430.0,-8.026437890144651,430.0,-5.829845743583597,430.0,-5.829845743583597,430.0,-5.829845743583597
440.0,-10.222467457267262,440.0,-10.222467457267262,440.0,-10.222465618491954,440.0,-10.22246377756596,440.0,-10.22246377756596,440.0,-10.22246377756596,440.0,-10.223024303339251,440.0,-10.223024303339251,440.0,-7.848513804841511,440.0,-5.474019096102404,440.0,-5.474019096102404,440.0,-5.474019096102404
450.0,-10.222455268119523,450.0,-10.222455268119523,450.0,-10.222451718286342,450.0,-10.222448165971686,450.0,-10.222448165971686,450.0,-10.222448165971686,450.0,-10.223006951482963,450.0,-10.223006951482963,450.0,-7.683000075419691,450.0,-5.14301349230713,450.0,-5.14301349230713,450.0,-5.14301349230713
460.0,-10.222443222253398,460.0,-10.222443222253398,460.0,-10.222436831013331,460.0,-10.22243043695564,460.0,-10.22243043695564,460.0,-10.22243043695564,460.0,-10.222989702900081,460.0,-10.222989702900081,460.0,-7.528264502738867,460.0,-4.833564499568108,460.0,-4.833564499568108,460.0,-4.833564499568108
470.0,-10.222431320475582,470.0,-10.222431320475582,470.0,-10.222420455225647,470.0,-10.222409586817292,470.0,-10.222409586817292,470.0,-10.222409586817292,470.0,-10.222972557957405,470.0,-10.222972557957405,470.0,-7.382927458391648,470.0,-4.542912828349268,470.0,-4.542912828349268,470.0,-4.542912828349268
480.0,-10.22241956354919,480.0,-10.22241956354919,480.0,-10.222401958437436,480.0,-10.22238434982295,480.0,-10.22238434982295,480.0,-10.22238434982295,480.0,-10.222955517018866,480.0,-10.222955517018866,480.0,-7.245820343285894,480.0,-4.268721250154517,480.0,-4.268721250154517,480.0,-4.268721250154517
490.0,-10.22240795219433,490.0,-10.22240795219433,490.0,-10.222380565809882,490.0,-10.22235317557661,490.0,-10.22235317557661,490.0,-10.22235317557661,490.0,-10.222938580445577,490.0,-10.222938580445577,490.0,-7.115951070505905,490.0,-4.009005563603531,490.0,-4.009005563603531,490.0,-4.009005563603531
500.0,-10.222396487076896,500.0,-10.222396487076896,500.0,-10.222355351134807,500.0,-10.222314210998743,500.0,-10.222314210998743,500.0,-10.222314210998743,500.0,-10.222921748595827,500.0,-10.222921748595827,500.0,-6.9924753679348655,500.0,-3.762077199756676,500.0,-3.762077199756676,500.0,-3.762077199756676
510.0,-10.222385168793142,510.0,-10.222385168793142,510.0,-10.222325230211842,510.0,-10.22226528709629,510.0,-10.22226528709629,510.0,-10.22226528709629,510.0,-10.222905021825206,510.0,-10.222905021825206,510.0,-6.87467290423795,510.0,-3.526495473994182,510.0,-3.526495473994182,510.0,-3.526495473994182
520.0,-10.222373997863679,520.0,-10.222373997863679,520.0,-10.222288956626418,520.0,-10.22220391052522,520.0,-10.22220391052522,520.0,-10.22220391052522,520.0,-10.222888400486688,520.0,-10.222888400486688,520.0,-6.76192741381199,520.0,-3.3010278357326186,520.0,-3.3010278357326186,520.0,-3.3010278357326186
530.0,-10.222362974734558,530.0,-10.222362974734558,530.0,-10.222245119847319,530.0,-10.2221272597849,530.0,-10.2221272597849,530.0,-10.2221272597849,530.0,-10.222871884930633,530.0,-10.222871884930633,530.0,-6.653710138483549,530.0,-3.084616751589615,530.0,-3.084616751589615,530.0,-3.084616751589615
540.0,-10.222352099782167,540.0,-10.222352099782167,540.0,-10.222192145505412,540.0,-10.222032185770841,540.0,-10.222032185770841,540.0,-10.222032185770841,540.0,-10.222855475504941,540.0,-10.222855475504941,540.0,-6.549566021269912,540.0,-2.876352092656732,540.0,-2.876352092656732,540.0,-2.876352092656732
550.0,-10.22234137332043,550.0,-10.22234137332043,550.0,-10.22212829767784,550.0,-10.221915216336253,550.0,-10.221915216336253,550.0,-10.221915216336253,550.0,-10.222839172555041,550.0,-10.222839172555041,550.0,-6.449102184690912,550.0,-2.675448090875214,550.0,-2.675448090875214,550.0,-2.675448090875214
560.0,-10.222330795608826,560.0,-10.222330795608826,560.0,-10.222051682976472,560.0,-10.221772564461519,560.0,-10.221772564461519,560.0,-10.221772564461519,560.0,-10.222822976424052,560.0,-10.222822976424052,560.0,-6.351978306470697,560.0,-2.4812240902045217,560.0,-2.4812240902045217,560.0,-2.4812240902045217
570.0,-10.222320366857915,570.0,-10.222320366857915,570.0,-10.221960256223664,570.0,-10.221600139600332,570.0,-10.221600139600332,570.0,-10.221600139600332,570.0,-10.22280688745268,570.0,-10.22280688745268,570.0,-6.257898571920187,570.0,-2.293088451171227,570.0,-2.293088451171227,570.0,-2.293088451171227
